,Name,Zomato Rating,Zomato Review Count,Address,Longitude,Latitude,City Name,Google Rating,Yelp Rating,Yelp Review Count,Composite Rating,Total Review count
63,La Traviata,4.1,435,"314 Congress Avenue, Austin 78701",-97.7440005000,30.2659185000,"Austin, TX",4.3,4.0,436,4.133333333333333,871
64,East Side Pies,4.1,365,1401 B Rosewood Avenue 78702,-97.7242583333,30.2688166667,"Austin, TX",4.3,4.0,591,4.133333333333333,956
65,Kerbey Lane Cafe,4.0,453,"3704 Kerbey Lane, Austin 78731",-97.7504583333,30.3078777778,"Austin, TX",4.3,4.0,1039,4.1000000000000005,1492
66,Magnolia Cafe,4.5,1374,"1920 S Congress Avenue, Austin 78704",-97.7517861111,30.2444888889,"Austin, TX",4.3,3.5,731,4.1000000000000005,2105
67,Clay Pit,4.2,1426,"1601 The Bertram Building, Guadalupe Street, Austin 78701",-97.7425166667,30.2788916667,"Austin, TX",4.1,4.0,1214,4.1000000000000005,2640
68,Galaxy Cafe,4.1,777,"9911 Brodie Lane, Suite 750, Austin 78748",-97.8480000000,30.1831750000,"Austin, TX",4.2,4.0,73,4.1000000000000005,850
69,Twin Lion Chinese Restaurant,4.2,386,"North Hills Town Center 4815 W Braker Lane, Suite 510, Austin 78759",-97.7478861111,30.4001361111,"Austin, TX",,4.0,243,4.1,629
70,Bartlett's,4.2,883,"2408 W Anderson Lane, Burnet Road, Austin 78757",-97.7314527778,30.3569750000,"Austin, TX",,4.0,607,4.1,1490
71,Frank,4.0,500,"407 Colorado Street, Austin 78701",-97.7442990000,30.2669060000,"Austin, TX",4.2,4.0,1730,4.066666666666666,2230
72,Lamberts Downtown Barbecue,4.0,805,"401 W 2nd Street, Austin 78701",-97.7477583333,30.2652694444,"Austin, TX",4.2,4.0,1436,4.066666666666666,2241
73,Asia Cafe,4.1,258,"8650 Spicewood Springs Road, Austin 78759",-97.7712027778,30.4325694444,"Austin, TX",,4.0,743,4.05,1001
74,Hut's Hamburgers,4.4,1870,"807 W 6th Street, Austin 78703",-97.7510750000,30.2703694444,"Austin, TX",4.2,3.5,634,4.033333333333334,2504
75,P. Terry's,4.3,746,"404 S Lamar Boulevard, Austin 78704",-97.7585444444,30.2614638889,"Austin, TX",4.3,3.5,412,4.033333333333333,1158
76,Hyde Park Bar & Grill,4.3,1107,"4206 Duval Street, Austin 78751",-97.7267250000,30.3042080000,"Austin, TX",4.2,3.5,563,4.0,1670
77,The Old Pecan Street Cafe,4.3,701,"504 B Trinity Street, Austin 78701",-97.7396388889,30.2666250000,"Austin, TX",4.2,3.5,177,4.0,878
78,Magnolia Cafe,4.2,776,"2304 Lake Austin Boulevard, Austin 78703",-97.7716833333,30.2778861111,"Austin, TX",4.3,3.5,731,4.0,1507
79,Sap's Fine Thai Cuisine,4.1,490,"4514 West Gate Boulevard, Austin 78745",-97.8007138889,30.2313944444,"Austin, TX",4.4,3.5,612,4.0,1102
80,Maria's Taco Xpress,4.2,411,"2529 S Lamar Boulevard, Austin 78704",-97.7783666667,30.2459777778,"Austin, TX",4.2,3.5,522,3.966666666666667,933
81,Trudy's,4.2,1219,"409 W 30th Street, Austin 78705",-97.7410769000,30.2957300000,"Austin, TX",4.2,3.5,817,3.966666666666667,2036
82,Hula Hut,4.3,1606,"3825 Lake Austin Boulevard, Austin 78703",-97.7841555556,30.2948083333,"Austin, TX",4.1,3.5,1220,3.9666666666666663,2826
83,Quality Seafood Market,4.1,420,"5621 Airport Boulevard, Austin 78751",-97.7126000000,30.3183277778,"Austin, TX",4.3,3.5,698,3.9666666666666663,1118
84,Shady Grove,4.3,1100,"1624 Barton Springs Road, Austin 78704",-97.7620611111,30.2626361111,"Austin, TX",4.1,3.5,789,3.9666666666666663,1889
85,Max's Wine Dive,4.0,393,"207 San Jacinto Boulevard, Suite 200 78701",-97.7414694444,30.2644277778,"Austin, TX",4.2,3.5,836,3.9,1229
86,Piranha Killer Sushi,4.1,407,"207 San Jacinto Boulevard, Suite 202, Austin 78701",-97.7417750000,30.2641472222,"Austin, TX",4.1,3.5,751,3.9,1158
87,G'Raj Mahal Cafe & Lounge,4.0,327,"73 Rainey Street, Austin 78701",-97.7388305556,30.2584750000,"Austin, TX",4.2,3.5,479,3.9,806
88,Hoover's Cooking,4.0,555,2002 Manor Road 78722,-97.7204277778,30.2842472222,"Austin, TX",4.2,3.5,704,3.9,1259
89,Curra's Grill,4.0,579,614 E Oltorf Street 78704,-97.7493138889,30.2368972222,"Austin, TX",4.2,3.5,1023,3.9,1602
90,Taverna,4.0,458,"258 W 2nd Street, Austin 78701",-97.7466194444,30.2651055556,"Austin, TX",4.1,3.5,727,3.8666666666666667,1185
91,Matt's El Rancho,4.0,775,"2613 S Lamar Boulevard, Austin 78704",-97.7794027778,30.2454861111,"Austin, TX",4.1,3.5,900,3.8666666666666667,1675
92,Java Noodles,4.1,298,"2400 E Oltorf Street, Suite 14, Austin 78741",-97.7296240000,30.2293990000,"Austin, TX",3.9,3.5,262,3.8333333333333335,560
93,Z' Tejas Southwestern Grill,4.0,769,"9400 A Arboretum Boulevard, Austin 78759",-97.7528083333,30.3895666667,"Austin, TX",4.0,3.5,290,3.8333333333333335,1059
94,Z' Tejas Southwestern Grill,4.0,469,"1110 W 6th Street, Austin 78703",-97.7557666000,30.2724566000,"Austin, TX",4.0,3.5,290,3.8333333333333335,759
95,Mangieri's Pizza Cafe,4.1,361,"5900 W Slaughter Lane, Suite 460, Austin 78749",-97.8789833333,30.2010833333,"Austin, TX",,3.5,183,3.8,544
96,Muangthai Thai Cuisine,4.1,285,"13945 US Hwy 183, Suite C 80, Austin 78717",-97.7971027778,30.4720694444,"Austin, TX",,3.5,379,3.8,664
97,Austin Pizza Garden,4.1,402,"6266 W US Highway 290, Austin 78735",-97.8589166667,30.2357555556,"Austin, TX",,3.5,225,3.8,627
98,Korea House,4.1,442,"2700 W Anderson Lane, Suite 501, Austin 78757",-97.7341694444,30.3594111111,"Austin, TX",,3.5,713,3.8,1155
99,North By Northwest Restaurant and Brewery,4.0,642,"10010 N Capital of Texas Hwy, Austin 78759",-97.7383410000,30.3911850000,"Austin, TX",,3.5,239,3.75,881
